produto;categoria;classificacao_fiscal;;embalagem;unidade;preco_pessoa_fisica;preco_sp;preco_outros_estados
BACALHAU PORTO GADUS MORHUA 06/08 (NILS SPERRE);BACALHAU ** SECO/SALGADO;0305.51.00;NOR;CX 50 KG; KG ;R$ 48,40;R$ 44,00;R$ 46,20
BACALHAU PORTO GADUS MORHUA 06/08 (MATHIAS);BACALHAU ** SECO/SALGADO;0305.51.00;NOR;CX 50 KG; KG ;R$ 48,95;R$ 44,50;R$ 46,73
BACALHAU PORTO GADUS MORHUA 08/10 (MATHIAS);BACALHAU ** SECO/SALGADO;0305.51.00;NOR;CX 50 KG; KG ;R$ 47,08;R$ 42,80;R$ 44,94
BACALHAU PORTO GADUS MORHUA 11/15 (MATHIAS);BACALHAU ** SECO/SALGADO;0305.51.00;NOR;CX 50 KG; KG ;R$ 0,00;;R$ 0,00
BACALHAU PORTO GADUS MACRO 08/10 (MATHIAS);BACALHAU ** SECO/SALGADO;0305.51.00;NOR;CX 50 KG; KG ;R$ 0,00;;R$ 0,00
BACALHAU COD GADUS MORHUA 07/09   (SCANMAR);BACALHAU ** SECO/SALGADO;0305.51.00;NOR;CX 25 KG; KG ;R$ 0,00;;R$ 0,00
BACALHAU COD GADUS MORHUA 10/12   (SCANMAR);BACALHAU ** SECO/SALGADO;0305.51.00;NOR;CX 25 KG; KG ;R$ 0,00;;R$ 0,00
BACALHAU SAITHE  07/09  (NILS SPERRE);BACALHAU ** SECO/SALGADO;0305.59.10;NOR;CX 25 KG;KG;R$ 0,00;;R$ 0,00
BACALHAU SAITHE 10/12  (NILS SPERRE);BACALHAU ** SECO/SALGADO;0305.59.10;NOR;CX 25 KG;KG;R$ 24,20;R$ 22,00;R$ 23,10
BACALHAU SAITHE 13/15  (NILS SPERRE);BACALHAU ** SECO/SALGADO;0305.59.10;NOR;CX 25 KG;KG;R$ 0,00;;R$ 0,00
BACALHAU ZARBO 16/20  (MATHIAS);BACALHAU ** SECO/SALGADO;0305.59.10;NOR;CX 25 KG;KG;R$ 0,00;;R$ 0,00
